Time,Temperature(c),Humidity(%),Air Quality(μg/m3)
03-23-2023_13:41:40,16.7,66.8,81.73624744407485
03-23-2023_13:41:50,16.7,67.0,105.53697378460035
03-23-2023_13:42:01,16.7,67.2,125.72508987701042
03-23-2023_13:42:11,16.8,67.4,125.44883144627218
03-23-2023_13:42:22,16.8,67.5,117.84109927671133
03-23-2023_13:42:32,16.8,67.6,126.59636646626178
03-23-2023_13:42:43,16.7,67.6,125.23632496108891
03-23-2023_13:42:53,16.8,67.7,125.68258857997377
03-23-2023_13:43:04,16.8,67.7,114.61100070192573
03-23-2023_13:43:14,16.8,67.6,118.32986419263284
03-23-2023_13:43:25,16.8,67.6,126.42636127811518
03-23-2023_13:43:36,16.8,67.7,82.37376689962464
03-23-2023_13:43:46,16.8,67.7,119.3286446729942
03-23-2023_13:43:57,16.9,67.8,126.70261970885342
03-23-2023_13:44:07,16.8,67.7,118.58487197485277
03-23-2023_13:44:18,16.8,67.7,126.70261970885342
03-23-2023_13:44:28,16.8,67.7,125.89509506515702
03-23-2023_13:44:39,16.9,67.8,114.12223578600421
03-23-2023_13:44:49,16.9,67.8,80.75871761223182
03-23-2023_13:45:00,16.9,67.8,87.19766411328472
03-23-2023_13:45:10,16.8,67.8,81.71499679555652
03-23-2023_13:45:21,16.9,67.9,81.07747734000672
03-23-2023_13:45:32,16.9,68.0,82.33126560258798
03-23-2023_13:45:42,16.9,68.0,81.73624744407485
03-23-2023_13:45:53,16.9,67.8,119.5836524552141
03-23-2023_13:46:11,16.9,67.9,80.63121372112187
03-23-2023_13:46:21,16.9,67.9,80.6524643696402
03-23-2023_13:46:32,16.9,68.0,81.35373577074496
03-23-2023_13:46:42,16.9,68.1,118.13860835596792
03-23-2023_13:46:56,16.9,68.1,114.03723319193092
03-23-2023_13:47:06,16.9,68.0,127.25513657032991
03-23-2023_13:47:17,16.9,68.1,80.39745658742028
03-23-2023_13:47:27,16.9,68.1,83.30879543443099
03-23-2023_13:47:40,16.9,68.1,126.72387035737175
03-23-2023_13:47:51,16.9,68.1,98.86427014984591
03-23-2023_13:48:01,16.9,68.1,127.21263527329326
03-23-2023_13:48:14,17.0,68.1,126.36260933256021
03-23-2023_13:48:33,17.0,68.1,107.42828150273141
03-23-2023_13:48:43,16.9,68.0,104.07067903683584
03-23-2023_13:48:54,17.0,68.1,106.91826593829157
03-23-2023_13:49:04,17.0,68.0,99.24678182317577
03-23-2023_13:49:15,17.0,68.0,81.92750328073977
03-23-2023_13:49:25,17.0,68.0,82.33126560258798
03-23-2023_13:49:36,17.0,67.9,80.77996826075015
03-23-2023_13:49:46,17.0,67.9,80.39745658742028
03-23-2023_13:49:57,17.0,68.1,127.23388592181158
03-23-2023_13:50:07,17.0,68.1,113.73972411267434
03-23-2023_13:50:18,17.0,68.1,125.17257301553393
03-23-2023_13:50:29,17.0,68.1,80.33370464186531
03-23-2023_13:50:39,17.0,68.1,84.66883693960388
03-23-2023_13:50:50,17.0,68.1,119.49864986114079
03-23-2023_13:51:00,17.0,68.1,97.56798059022799
03-23-2023_13:51:11,17.0,68.2,96.27169103061007
03-23-2023_13:51:21,17.0,68.1,107.36452955717643
03-23-2023_13:51:32,17.0,68.1,82.33126560258798
03-23-2023_13:51:42,17.0,68.1,125.89509506515702
03-23-2023_13:51:53,17.0,68.1,122.60124454481642
03-23-2023_13:52:06,17.0,68.1,100.67057527390362
03-23-2023_13:52:17,17.0,68.1,97.31297280800806
03-23-2023_13:52:27,16.9,68.1,82.14000976592304
03-23-2023_13:52:38,16.9,68.0,81.35373577074496
03-23-2023_13:52:48,17.0,68.1,127.19138462477493
03-23-2023_13:52:59,17.0,68.1,127.78640278328807
03-23-2023_13:53:09,17.0,68.1,122.62249519333476
03-23-2023_13:53:20,17.0,68.1,81.09872798852506
03-23-2023_13:53:30,17.0,68.1,81.84250068666647
03-23-2023_13:53:41,17.0,68.0,127.61639759514146
03-23-2023_13:53:51,17.0,68.1,124.04628864406264
03-23-2023_13:54:02,17.0,68.1,119.26489272743922
03-23-2023_13:54:13,17.0,68.1,120.79493942075871
03-23-2023_13:54:23,17.0,68.2,127.27638721884823
03-23-2023_13:54:34,17.0,68.2,126.2776067384869
03-23-2023_13:54:44,17.0,68.1,98.22675069429611
03-23-2023_13:54:55,17.0,67.9,80.39745658742028
03-23-2023_13:55:05,17.0,67.6,81.16247993408003
03-23-2023_13:55:16,17.0,67.5,80.9074721518601
03-23-2023_13:55:29,17.0,67.5,127.48889370403151
03-23-2023_13:55:45,17.0,67.5,127.10638203070164
03-23-2023_13:55:55,17.0,67.5,118.83987975707267
03-23-2023_13:56:06,17.0,67.5,82.11875911740471
03-23-2023_13:56:16,16.9,67.3,81.50249031037325
03-23-2023_13:56:27,16.9,67.4,124.57755485702079
03-23-2023_13:56:37,16.9,67.5,81.16247993408003
03-23-2023_13:56:50,16.9,67.5,109.63834894863734
03-23-2023_13:57:01,16.9,67.6,127.36138981292153
03-23-2023_13:57:11,16.9,67.6,88.57895626697591
03-23-2023_13:57:22,16.9,67.6,111.40215277565844
